ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize
32304,post,AR,40,female,masters degree or equivalent,22,243,243,48.54648216666667,69.625,white,114.37682353660779,8.794449993746028,yes,20,postcollege,1320
994,post,AR,56,female,associates or some college,11,3905,3745,821.0858216833334,90,unspecified,99.27980911701225,-9.032369665802705,unspecified,NA,college,1338
49967,post,AR,46,female,associates or some college,17,216,207,47.62809705,70.66666666666667,hispanic,120.33554738323792,-11.946992719059324,no,14,college,1311
25921,post,AR,52,female,masters degree or equivalent,15,1145,446,325.8305968,69.95833333333333,asian,93.21971245113882,9.176780520618308,no,19,postcollege,1308
29232,post,AR,33,female,bachelors degree,18,116,107,23.72278336666667,69.91666666666667,unspecified,90.24743945120954,21.059311122770723,unspecified,NA,college,1317
33270,post,AR,42,male,some high school,9,60,59,10.794863666666666,69.5,white,70.13496580221123,13.781414913348442,yes,11,hs,1333
1806,post,AR,38,female,masters degree or equivalent,29,1067,390,456.01626980000003,70.25,white,135.20157075228917,8.34820867502026,no,18,postcollege,1286
61706,post,AR,31,female,masters degree or equivalent,10,251,113,92.47909193333334,92.875,unspecified,105.31617807887685,-18.274949354192202,unspecified,NA,postcollege,1318
38497,post,AR,29,female,bachelors degree,12,149,146,35.18509486666667,69.91666666666667,native_american,87.04122872468464,6.178483726454175,yes,16,college,1322
48117,post,AR,23,male,high school,18,27,27,9.137201166666667,309,white,102.39649297175713,8.91025760222314,yes,14,hs,1312
10886,post,AR,49,unspecified,unspecified,18,1984,1644,585.5980556666667,70.5,white,111.30675057398027,0,unspecified,14,unspecified,1293
32651,post,AR,51,female,masters degree or equivalent,20,959,231,345.57899148333337,70.58333333333333,white,108.3885546641786,8.905748861552553,yes,18,postcollege,1327
66093,post,AR,55,female,high school,18,346,346,67.29249915,90,unspecified,93.21971245113882,18.08703812284145,unspecified,NA,hs,1327
34400,post,AR,40,female,bachelors degree,16,336,200,102.62901624999999,189.25,white,96.35662119210265,8.959556886774195,yes,16,college,1315
41602,post,AR,40,female,unspecified,11,684,364,210.5523214,70.5,white,87.04122872468464,3.206210726524901,yes,15,unspecified,1307
7992,post,AR,30,male,associates or some college,22,611,590,110.97707998333334,386.6666666666667,white,123.17127353035382,0,yes,14,college,1326
38592,post,AR,37,female,phd,19,667,642,234.01312041666668,69.95833333333333,white,120.33554738323792,-5.958723846630136,yes,20,postcollege,1317
26359,post,AR,43,female,masters degree or equivalent,20,585,311,175.46200728333332,69.95833333333333,white,96.35662119210265,20.9376823336285,yes,20,postcollege,1321
59483,post,AR,50,female,bachelors degree,18,257,247,56.99845663333333,90.75,unspecified,111.30675057398027,0,unspecified,NA,college,1329
38285,post,AR,58,female,associates or some college,20,2270,646,502.27371493333334,134.75,white,111.30675057398027,5.987552951750885,yes,12,college,1315
29879,post,AR,18,male,high school,20,85,83,21.516645883333332,125,pacific_islander,117.29430352573115,0,yes,12,hs,1301
64470,post,AR,59,male,masters degree or equivalent,16,110,108,20.525274,104.75,unspecified,105.31617807887685,0,unspecified,NA,postcollege,1304
25138,post,AR,40,male,bachelors degree,17,1212,392,289.67221739999997,70.83333333333333,hispanic,102.39649297175713,5.992061692421473,no,16,college,1324
63301,post,AR,50,male,bachelors degree,12,722,211,131.46362101666668,115.95833333333333,hispanic,90.24743945120954,2.972272999929274,no,18,college,1334
9097,post,AR,54,male,bachelors degree,17,406,394,63.697926933333335,71.91666666666667,white,99.27980911701225,9.10874554716635,yes,16,college,1315
3782,post,AR,44,male,masters degree or equivalent,21,246,246,48.38821958333333,70.83333333333333,white,114.37682353660779,5.958723846630136,yes,18,postcollege,1311
8939,post,AR,27,male,bachelors degree,14,426,218,121.08201346666667,91.16666666666667,unspecified,105.31617807887685,-6.036368961864596,unspecified,NA,college,1317
60805,post,AR,21,female,bachelors degree,9,169,107,57.413886600000005,194,white,87.04122872468464,-3.1248480091249746,yes,16,college,1334
60892,post,AR,52,male,associates or some college,25,2436,728,1038.5730623166667,71.33333333333333,white,123.17127353035382,9.068430485888868,yes,12,college,1320
15219,post,AR,53,male,bachelors degree,18,80,80,15.2301125,100.33333333333333,unspecified,111.30675057398027,0,unspecified,NA,college,1323
1006,post,AR,45,male,associates or some college,15,3394,2212,881.5657936333333,69.75,white,114.37682353660779,-11.98033056485066,yes,12,college,1298
65404,post,AR,28,male,masters degree or equivalent,22,278,261,61.22114105,94.625,unspecified,117.29430352573115,5.876970004622663,unspecified,NA,postcollege,1323
28036,post,AR,37,unspecified,unspecified,12,100,98,23.041059816666667,70.91666666666667,white,96.35662119210265,-3.1369087409638325,yes,17,unspecified,1335
21383,post,AR,58,male,bachelors degree,8,482,374,128.795035,77,white,90.24743945120954,-9.715763586533598,yes,16,college,1312
58681,post,AR,21,female,associates or some college,16,461,287,180.62820383333334,75.66666666666667,white,108.3885546641786,-3.072376585301754,yes,15,college,1314
47891,post,AR,34,male,bachelors degree,22,265,253,51.862244833333335,73.95833333333333,white,117.29430352573115,5.876970004622663,yes,17,college,1316
31026,post,AR,36,male,masters degree or equivalent,23,989,224,328.1431869,83.08333333333333,white,114.37682353660779,11.760975459585879,yes,19,postcollege,1294
46829,post,AR,57,female,associates or some college,21,311,250,74.4063101,69.75,white,108.3885546641786,11.946992719059324,yes,14,college,1327
11984,post,AR,48,male,high school,9,68,66,10.62990165,86.04166666666667,white,90.24743945120954,-6.331058735649876,yes,12,hs,1335
63303,post,AR,23,male,unspecified,9,377,287,128.44051733333333,115.41666666666667,unspecified,90.24743945120954,-6.331058735649876,unspecified,NA,unspecified,1308
9080,post,AR,38,female,associates or some college,10,637,527,143.04215796666668,87.04166666666667,white,87.04122872468464,0,yes,14,college,1326
66985,post,AR,51,female,associates or some college,17,111,110,21.185036,112.79166666666667,unspecified,90.24743945120954,18.141115212969055,unspecified,NA,college,1293
60485,post,AR,53,female,bachelors degree,15,423,340,117.87016111666667,206.54166666666666,white,99.27980911701225,3.1166838547448776,yes,16,college,1315
15012,post,AR,27,unspecified,bachelors degree,17,163,163,29.46249896666667,91,unspecified,120.33554738323792,-11.946992719059324,unspecified,NA,college,1312
43493,post,AR,26,male,associates or some college,18,711,276,158.77917625,266.7083333333333,black,111.30675057398027,0,yes,15,college,1289
10388,post,AR,29,female,associates or some college,21,164,143,38.12105211666667,95.375,hispanic,108.3885546641786,11.946992719059324,yes,16,college,1319
35913,post,AR,41,male,unspecified,24,136,127,30.86530296666667,71,white,126.13779899619367,3.0020957685444642,yes,15,unspecified,1301
43193,post,AR,52,female,associates or some college,15,460,429,96.4270839,89.91666666666667,white,111.30675057398027,-8.91025760222314,yes,14,college,1307
19807,post,AR,47,female,masters degree or equivalent,11,446,149,87.54072701666666,135.75,hispanic,83.91638071555967,6.331058735649876,no,18,postcollege,1328
54567,post,AR,16,male,some high school,13,180,166,40.20607501666667,71.875,white,96.35662119210265,0,yes,11,hs,1333
13610,post,AR,51,male,masters degree or equivalent,14,1083,1082,212.40085493333333,106.25,unspecified,99.27980911701225,0,unspecified,NA,postcollege,1305
66206,post,AR,28,male,unspecified,3,251,248,52.9830684,99.58333333333333,unspecified,77.24992505278499,-15.048346712019764,unspecified,NA,unspecified,1314
44283,post,AR,26,female,bachelors degree,14,389,187,85.58521841666666,70.04166666666667,asian,99.27980911701225,0,no,16,college,1307
46590,post,AR,43,female,masters degree or equivalent,11,628,390,203.2826746,70.04166666666667,white,96.35662119210265,-6.109181740893106,yes,18,postcollege,1322
4974,post,AR,41,female,bachelors degree,12,622,387,216.45177298333334,70.20833333333333,white,77.24992505278499,15.96978739835383,yes,17,college,1324
11621,post,AR,56,male,high school,20,647,647,125.4022212,210.20833333333334,white,111.30675057398027,5.987552951750885,yes,12,hs,1309
26695,post,AR,55,female,bachelors degree,13,147,124,40.517052166666666,92.91666666666667,native_american,99.27980911701225,-2.9231879249095982,yes,14,college,1322
61795,post,AR,31,female,masters degree or equivalent,15,657,357,189.19327643333335,69.70833333333333,asian,102.39649297175713,0,no,18,postcollege,1299
54841,post,AR,31,male,associates or some college,22,1638,689,663.4476264833334,109.83333333333333,white,114.37682353660779,8.794449993746028,yes,14,college,1321
37041,post,AR,23,female,masters degree or equivalent,18,121,118,22.044129616666666,118,asian,114.37682353660779,-3.0700729626275205,no,17,postcollege,1318
63305,post,AR,24,female,bachelors degree,22,805,510,254.86237538333336,89.91666666666667,white,123.17127353035382,0,yes,NA,college,1287
68562,post,AR,28,female,bachelors degree,22,382,164,158.74044303333335,100.16666666666667,unspecified,114.37682353660779,8.794449993746028,unspecified,NA,college,1315
20604,post,AR,30,female,bachelors degree,17,580,485,106.44943181666667,69.875,white,102.39649297175713,5.992061692421473,yes,16,college,1322
57102,post,AR,52,female,bachelors degree,18,246,213,51.769721600000004,74.95833333333333,white,117.29430352573115,-5.987552951750885,yes,16,college,1330
32710,post,AR,58,unspecified,unspecified,12,132,128,26.238619083333333,71.91666666666667,white,77.24992505278499,15.96978739835383,no,14,unspecified,1330
10911,post,AR,56,male,bachelors degree,16,1845,871,558.9914782,74.91666666666667,unspecified,102.39649297175713,2.9196851071197187,unspecified,NA,college,1308
5481,post,AR,47,male,bachelors degree,21,423,406,82.1179894,101.04166666666667,white,105.31617807887685,15.019369304361078,unspecified,16,college,1301
67410,post,AR,42,female,unspecified,9,570,256,130.48091806666667,96.04166666666667,unspecified,102.39649297175713,-18.480112256197458,unspecified,NA,unspecified,1307
1623,post,AR,45,male,masters degree or equivalent,23,6454,1958,1867.6605124333335,91,unspecified,129.13989476473813,-3.0020957685444642,unspecified,NA,postcollege,1323
56240,post,AR,29,female,masters degree or equivalent,26,601,386,274.1860011666667,70,white,120.33554738323792,14.866023369051248,yes,20,postcollege,1294
907,post,AR,53,female,bachelors degree,15,302,280,64.38819736666667,70,white,105.31617807887685,-2.9196851071197187,yes,16,college,1307
65006,post,AR,25,female,masters degree or equivalent,17,417,401,89.24650445,125.70833333333333,unspecified,102.39649297175713,5.992061692421473,unspecified,NA,postcollege,1311
30314,post,AR,51,female,high school,14,245,214,111.25189393333333,170.58333333333334,white,96.35662119210265,2.9231879249095982,yes,12,hs,1326
19361,post,AR,41,unspecified,associates or some college,14,365,268,89.64273195,94.875,white,96.35662119210265,2.9231879249095982,yes,14,college,1309
41063,post,AR,16,male,high school,20,186,176,45.41543926666667,70.875,white,108.3885546641786,8.905748861552553,yes,10,hs,1303
45965,post,AR,43,female,associates or some college,12,653,562,220.92672658333333,70.29166666666667,white,105.31617807887685,-12.096465627738027,yes,15,college,1337
58841,post,AR,54,male,masters degree or equivalent,17,193,193,37.74950941666667,71.125,white,105.31617807887685,3.072376585301754,yes,18,postcollege,1304
18557,post,AR,56,unspecified,associates or some college,16,19,19,3.3072375000000003,139.91666666666666,unspecified,102.39649297175713,2.9196851071197187,unspecified,NA,college,1301
28295,post,AR,29,male,bachelors degree,18,251,222,69.65672005,70.95833333333333,white,114.37682353660779,-3.0700729626275205,yes,16,college,1311
3818,post,AR,25,male,bachelors degree,9,110,80,24.27749635,104.125,other,83.91638071555967,0,yes,16,college,1333
59823,post,AR,59,male,bachelors degree,7,401,350,120.57859126666668,257.4166666666667,hispanic,65.86309335852766,11.386831694257324,no,18,college,1318
7630,post,AR,54,male,phd,13,90,90,16.517373866666667,81,native_american,108.3885546641786,-12.031933472075949,yes,20,postcollege,1336
28137,post,AR,22,male,associates or some college,28,514,240,111.12778423333333,71.20833333333333,asian,129.13989476473813,11.57754853621222,yes,15,college,1300
40266,post,AR,56,female,unspecified,7,141,123,34.8045828,84.79166666666667,white,83.91638071555967,-6.6664556627746805,yes,14,unspecified,1338
16084,post,AR,35,female,masters degree or equivalent,14,64,62,10.6501313,69.33333333333333,hispanic,105.31617807887685,-6.036368961864596,no,18,postcollege,1306
41044,post,AR,54,female,bachelors degree,18,188,187,40.87437991666667,72.20833333333333,white,114.37682353660779,-3.0700729626275205,yes,16,college,1305
36095,post,AR,50,male,bachelors degree,16,119,115,22.30280595,70.25,white,90.24743945120954,15.068738627667301,yes,16,college,1308
58658,post,AR,48,female,associates or some college,14,273,165,69.53079285,70.83333333333333,white,87.04122872468464,12.238580392327606,yes,14,college,1328
23091,post,AR,15,female,some high school,11,694,417,188.7451051,70.54166666666667,white,102.39649297175713,-12.149053520547582,yes,10,hs,1305
67075,post,AR,57,female,associates or some college,11,500,346,185.17937223333334,90,unspecified,96.35662119210265,-6.109181740893106,unspecified,NA,college,1333
15493,post,AR,29,female,masters degree or equivalent,15,132,126,26.960145416666666,101,unspecified,99.27980911701225,3.1166838547448776,unspecified,NA,postcollege,1297
5685,post,AR,24,male,associates or some college,13,367,280,137.46262959999999,109.29166666666667,white,99.27980911701225,-2.9231879249095982,yes,12,college,1303
51418,post,AR,20,female,associates or some college,12,224,193,54.76486943333333,195.625,hispanic,87.04122872468464,6.178483726454175,yes,15,college,1326
42860,post,AR,27,female,associates or some college,13,407,344,113.01510940000001,70.66666666666667,white,120.33554738323792,-23.978926191135272,no,14,college,1331
21026,post,AR,39,female,masters degree or equivalent,19,1226,892,270.49634385,88.66666666666667,black,111.30675057398027,3.0700729626275205,yes,20,postcollege,1316
63658,post,AR,27,male,masters degree or equivalent,26,114,111,18.9731698,180.875,unspecified,132.23970401624268,2.9618667360464883,unspecified,NA,postcollege,1284
64522,post,AR,52,female,masters degree or equivalent,18,2377,1089,1069.4667423833334,89.875,unspecified,111.30675057398027,0,unspecified,NA,postcollege,1323
39546,post,AR,56,female,high school,18,142,141,31.406750233333334,70.16666666666667,white,99.27980911701225,12.026941456968018,yes,12,hs,1307
46768,post,AR,25,male,high school,17,498,356,146.25223498333335,69.875,white,87.04122872468464,21.347325939493956,yes,12,hs,1297
39021,post,AR,52,female,masters degree or equivalent,18,249,224,62.77831836666667,72.04166666666667,white,99.27980911701225,12.026941456968018,yes,18,postcollege,1309
1201,post,AR,26,female,associates or some college,16,253,119,114.1744581,176.04166666666666,unspecified,80.53167586467595,24.7845022142009,unspecified,NA,college,1323
37565,post,AR,56,female,high school,11,562,426,220.44929211666667,71,white,93.21971245113882,-2.972272999929274,yes,12,hs,1335
25390,post,AR,22,male,bachelors degree,20,108,103,19.043418533333334,155.45833333333334,unspecified,114.37682353660779,2.9174799891233647,no,15,college,1316
68746,post,AR,47,female,bachelors degree,19,837,345,283.7356975166667,89.5,unspecified,96.35662119210265,18.020202344505137,unspecified,NA,college,1295
27294,post,AR,23,female,high school,6,471,331,128.16793383333334,75.91666666666667,white,73.62967004333692,0,yes,12,hs,1327
20638,post,AR,59,female,associates or some college,13,507,381,118.01050283333333,80.08333333333333,white,96.35662119210265,0,yes,13,college,1326
16822,post,AR,47,male,associates or some college,16,189,187,28.763162983333334,171.375,white,117.29430352573115,-11.978125446854307,yes,14,college,1325
35690,post,AR,57,female,masters degree or equivalent,12,33,33,7.710851000000001,154.375,black,87.04122872468464,6.178483726454175,yes,19,postcollege,1313
63269,post,AR,43,male,associates or some college,12,321,314,69.65970336666666,90.54166666666667,white,70.13496580221123,23.08474664892759,no,13,college,1309
8376,post,AR,34,female,bachelors degree,12,115,104,23.594842433333334,350.9166666666667,white,111.30675057398027,-18.08703812284145,yes,17,college,1322
58515,post,AR,50,female,phd,17,18,18,4.596032916666666,160.95833333333334,unspecified,105.31617807887685,3.072376585301754,unspecified,NA,postcollege,1316
15042,post,AR,52,male,high school,5,643,369,101.03498468333333,242.125,white,77.24992505278499,-7.1149592505737616,yes,8,hs,1313
14764,post,AR,30,male,high school,17,2101,828,269.33446305,104.83333333333333,unspecified,96.35662119210265,12.031933472075949,unspecified,NA,hs,1324
16737,post,AR,32,female,bachelors degree,11,207,207,44.152026533333334,103.625,white,105.31617807887685,-15.068738627667301,yes,17,college,1311
9543,post,AR,46,female,masters degree or equivalent,19,792,783,162.80755248333332,129.95833333333334,white,114.37682353660779,0,yes,18,postcollege,1327
35329,post,AR,54,female,associates or some college,24,98,94,22.766774966666667,95,white,123.17127353035382,5.968621234384315,yes,15,college,1306
48446,post,AR,58,female,bachelors degree,17,122,119,25.1183863,72.25,white,93.21971245113882,15.168842213039781,yes,11,college,1322
19558,post,AR,55,female,masters degree or equivalent,17,201,201,37.48927521666667,70,white,114.37682353660779,-5.988268872429188,yes,16,postcollege,1325
25470,post,AR,39,female,masters degree or equivalent,22,236,225,83.22969265,70,hispanic,117.29430352573115,5.876970004622663,no,20,postcollege,1289
54363,post,AR,35,female,bachelors degree,9,408,299,81.76433808333333,87,white,108.3885546641786,-24.47217394861893,yes,20,college,1339
15916,post,AR,49,female,bachelors degree,12,489,476,106.54630771666667,295.5416666666667,white,99.27980911701225,-6.060096665873431,yes,16,college,1316
46457,post,AR,33,male,high school,14,224,215,47.246389916666665,71.08333333333333,white,102.39649297175713,-3.1166838547448776,yes,12,hs,1327
31294,post,AR,56,male,masters degree or equivalent,21,685,514,152.7109077,70.45833333333333,hispanic,117.29430352573115,3.041243857506771,yes,18,postcollege,1324
16455,post,AR,52,male,high school,14,49,40,10.114447,71.75,white,102.39649297175713,-3.1166838547448776,yes,10,hs,1328
35231,post,AR,56,female,bachelors degree,11,43,42,10.00661485,77.04166666666667,white,114.37682353660779,-24.129384085398243,yes,16,college,1321
44618,post,AR,59,male,bachelors degree,10,98,98,18.408282166666666,71.04166666666667,white,83.91638071555967,3.1248480091249746,yes,16,college,1329
31049,post,AR,50,male,masters degree or equivalent,25,200,85,69.65319463333333,111.125,white,120.33554738323792,11.90415663300476,yes,18,postcollege,1319
17695,post,AR,53,female,associates or some college,16,1345,341,510.3155671666667,70.33333333333333,white,105.31617807887685,0,yes,14,college,1323
54993,post,AR,26,male,masters degree or equivalent,19,489,442,177.39328628333334,70.04166666666667,white,117.29430352573115,-2.9174799891233647,yes,17,postcollege,1328
35967,post,AR,57,female,bachelors degree,12,302,286,67.65080348333333,80.91666666666667,white,96.35662119210265,-3.1369087409638325,yes,16,college,1316
48977,post,AR,59,male,masters degree or equivalent,16,835,780,308.2263262833333,78.75,unspecified,102.39649297175713,2.9196851071197187,unspecified,NA,postcollege,1325
66065,post,AR,20,female,bachelors degree,12,263,254,62.72353008333334,96.41666666666667,unspecified,96.35662119210265,-3.1369087409638325,unspecified,NA,college,1320
3163,post,AR,44,male,masters degree or equivalent,27,3108,2771,1471.4260733333333,74.70833333333333,white,132.23970401624268,5.840167348216539,yes,18,postcollege,1300
23538,post,AR,51,male,bachelors degree,16,486,429,66.8404395,70.95833333333333,white,114.37682353660779,-9.060645457730942,yes,17,college,1311
15594,post,AR,29,male,bachelors degree,14,617,473,137.1930853,431.0833333333333,black,105.31617807887685,-6.036368961864596,yes,16,college,1297
13485,post,AR,18,female,associates or some college,14,201,165,39.69796831666667,90.875,unspecified,102.39649297175713,-3.1166838547448776,unspecified,NA,college,1331
63523,post,AR,44,female,associates or some college,20,284,264,80.13231540000001,110.75,white,111.30675057398027,5.987552951750885,yes,14,college,1301
67040,post,AR,54,female,unspecified,14,994,567,297.9590899,89.33333333333333,unspecified,108.3885546641786,-9.10874554716635,unspecified,NA,unspecified,1321
31820,post,AR,34,female,masters degree or equivalent,25,791,493,500.2168874166667,71.875,white,132.23970401624268,0,yes,18,postcollege,1311
34783,post,AR,58,unspecified,unspecified,11,276,275,55.129842016666665,70.66666666666667,white,73.62967004333692,16.61776940787263,yes,13,unspecified,1304
26850,post,AR,51,female,bachelors degree,21,1890,506,537.5573732166666,69.54166666666667,white,123.17127353035382,-2.835726147115892,yes,16,college,1325
26281,post,AR,34,unspecified,unspecified,19,300,242,88.39605066666667,72.83333333333333,white,90.24743945120954,24.129384085398243,yes,16,unspecified,1320
12129,post,AR,42,female,associates or some college,21,1056,639,480.71592583333336,332.5833333333333,white,120.33554738323792,0,yes,16,college,1318
27881,post,AR,40,male,associates or some college,8,161,159,31.078048250000002,72.08333333333333,white,77.24992505278499,3.2817508118909586,yes,14,college,1307
45550,post,AR,27,male,bachelors degree,16,375,284,88.44804105,70.95833333333333,white,93.21971245113882,12.096465627738027,yes,17,college,1319
14428,post,AR,28,male,associates or some college,19,329,160,47.979729283333334,75.95833333333333,white,114.37682353660779,0,no,16,college,1303
44380,post,AR,54,female,associates or some college,13,686,672,124.68172796666667,234.04166666666666,white,90.24743945120954,6.109181740893106,yes,14,college,1335
30648,post,AR,27,female,associates or some college,12,260,252,55.871970983333334,70.04166666666667,white,93.21971245113882,0,yes,13,college,1319
69099,post,AR,35,female,some high school,16,590,499,126.04832716666667,94.125,unspecified,96.35662119210265,8.959556886774195,unspecified,NA,hs,1321
13270,post,AR,27,male,high school,24,758,717,173.37814550000002,93.45833333333333,unspecified,111.30675057398027,17.833144190757864,unspecified,NA,hs,1320
23248,post,AR,54,female,bachelors degree,17,915,597,263.77593033333335,76.33333333333333,unspecified,99.27980911701225,9.10874554716635,unspecified,NA,college,1315
55784,post,AR,59,female,associates or some college,14,203,203,35.97717365,199.25,white,111.30675057398027,-12.026941456968018,yes,14,college,1332
17773,post,AR,43,male,high school,5,67,50,11.345170166666666,134,unspecified,73.62967004333692,-3.494704241125689,unspecified,NA,hs,1348
35931,post,AR,26,male,phd,7,1230,889,284.00013585,174.29166666666666,white,93.21971245113882,-15.96978739835383,yes,20,postcollege,1325
43727,post,AR,42,male,bachelors degree,2,182,162,37.722675116666665,102.16666666666667,white,65.86309335852766,-6.96875212118848,yes,16,college,1343
9650,post,AR,53,male,masters degree or equivalent,16,1632,1391,409.7400777166667,141,white,117.29430352573115,-11.978125446854307,yes,20,postcollege,1308
67920,post,AR,48,male,masters degree or equivalent,14,4360,514,1684.0727792,90.08333333333333,unspecified,96.35662119210265,2.9231879249095982,unspecified,NA,postcollege,1305
58547,post,AR,38,male,bachelors degree,22,491,471,103.45727991666666,90,asian,117.29430352573115,5.876970004622663,yes,16,college,1317
49125,post,AR,43,male,masters degree or equivalent,17,440,308,159.32587138333332,73.125,white,105.31617807887685,3.072376585301754,no,16,postcollege,1322
29896,post,AR,31,female,bachelors degree,27,228,223,49.15773883333333,69.45833333333333,white,132.23970401624268,5.840167348216539,yes,16,college,1308
53315,post,AR,21,female,unspecified,10,311,306,90.93730643333333,83.25,white,102.39649297175713,-15.355264247072483,yes,16,unspecified,1313
11319,post,AR,18,male,high school,19,732,571,218.22484601666667,72.625,white,111.30675057398027,3.0700729626275205,yes,11,hs,1325
62609,post,AR,54,male,unspecified,13,438,130,76.4768964,73,white,87.04122872468464,9.315392467418008,yes,9,unspecified,1309
3767,post,AR,58,female,masters degree or equivalent,18,252,248,63.1896122,71,white,111.30675057398027,0,yes,18,postcollege,1324
61264,post,AR,53,female,bachelors degree,17,227,129,114.37892986666667,70.125,white,93.21971245113882,15.168842213039781,yes,16,college,1307
31185,post,AR,59,female,bachelors degree,22,755,384,175.21454648333335,69.625,white,120.33554738323792,2.835726147115892,yes,16,college,1317
51621,post,AR,39,female,bachelors degree,16,31,30,7.660984966666668,162.91666666666666,unspecified,114.37682353660779,-9.060645457730942,unspecified,NA,college,1307
16990,post,AR,31,male,associates or some college,14,43,42,10.071781433333333,70.54166666666667,unspecified,93.21971245113882,6.060096665873431,unspecified,NA,college,1322
55235,post,AR,29,female,bachelors degree,19,64,54,18.6006365,209,white,123.17127353035382,-8.794449993746028,yes,19,college,1321
